NOMENUM;ARIMA RMSE;LSTM RMSE;Prophet RMSE;ARIMA R2;LSTM R2;Prophet R2
Sombrio;271.2959215682345;3240.369464347347;205.13585598818045;-2.582348558499555;0.8420369152528397;-1299.5831832782408
Itaqui;858.5293136932877;16602.893277354513;1203.4437444729008;0.2080186539981923;-3.1470005872432525;-1289.9945757661606
Acrelândia;262.25543266848933;10276.509149283682;98.2798458371536;-1.6083483144776878;-0.5887580744385204;-1328.2123257373275
Assis Brasil;146.0416860817753;4190.609541169947;169.34778011324065;-2.7297551353010183;0.7358072234125088;-1335.2871123773887
Centro Novo do Maranhão;0.22187191753447036;12102.13003162229;273.495501354697;-9.52191519837238e+23;-1.2033839119929137;-1342.67565063963
Matinha;0.8526178739389153;32382.2785112585;111.23008881022592;-1.9427859519151118;-14.775435297018369;-1350.94166181115
Doutor Severiano;173.20451393228242;9829.512116351772;279.72179291345196;-0.34450570783500356;-0.45355165177316414;-1342.9619691438986
Pedro Velho;15.497749759585291;3056.1563806575755;186.0259274052855;0.44585458634420705;0.859486616955645;-1340.7854825002032
Logradouro;24.639608370189688;16861.851672571327;59.300987221341444;-0.18173792679069356;-3.2773725064219654;-1349.9200124937993
Frei Miguelinho;160.25907886173113;14979.664866202455;51.87567741250502;-1.3422551690828892;-2.3757535936266096;-1337.3466280002303
Andorinha;133.38114412007693;8894.368274127311;136.56211054687984;-1.8224593726819744;-0.1901364583252716;-1343.28867479866
Inhapim;253.26084879051274;3122.111019376846;886.30931397532;-2.8782350534412764;0.8533563612390699;-1334.9175565972096
Laranjal;195.71117252605146;4965.317875176404;138.12027203082667;-4.641870342838022;0.6290967335935191;-1342.8715596446584
Itapuca;24.242570296230678;4746.287372754437;31.62773576289341;-2.9642950782416;0.6610976315375234;-1352.7914918277816
Bela Vista de Goiás;751.3129630110401;5443.034885550889;158.0086908595718;-2.747749014491411;0.5542936927291794;-1307.706839224485
Itaberaí;1518.438158072274;2630.331992457912;555.6600928119318;-2.0588504247027015;0.8959151120949402;-1260.7108258811058
Resplendor;210.1481928146863;1005.657407427563;532.9156927807097;-1.583129825657966;0.9847851856321783;-1329.93904151857
União da Vitória;510.875472215906;8831.810887976095;1454.0706992431215;-0.6354721358757283;-0.1734539913806623;-1243.720553905156
Tapiratiba;393.28476566988127;6098.182992004043;242.7258645700804;-3.365829069270892;0.44054205077225383;-1331.1393190521046
São José dos Ausentes;21.378089671051214;53185.76819414766;36.8009089140236;-5.2308842730307665;-41.55566849245531;-1348.679288295485
Nova Olímpia;14.291911324346772;7226.698758066289;68.08558807951316;-1.4861921288062279;0.21431864376511256;-1338.9766699765805
Pinhal;137.14116488964825;28911.024744319177;34.116804663132314;-11.335394527318407;-11.574580778290853;-1348.0178578308971
Jucurutu;144.29907191954752;1208.9108114823593;424.079761124384;-2.2650138406964793;0.9780135522821223;-1310.8233978622532
Patrocínio;1624.7596092760054;1982.1310162949612;994.1075973173146;-4.26687637791447;0.9408940422392156;-1221.7781873841325
Capão Bonito;792.1054572461913;16441.533324367636;574.2044623537219;-1.4137782281053433;-3.066784675666515;-1275.4527079049933
Praia Grande;462.4335001252919;16804.614152160124;3399.101200512629;0.11837140906521992;-3.2483827288006184;-1071.8181153112087
Agrolândia;21.60806497731678;36610.41566338847;78.41811958584908;-3.8478037017107205;-19.163961697405785;-1335.3799639300516
Braço do Norte;235.7024815284946;10625.802547336354;594.923646717237;-0.7065897966198484;-0.6985957266229046;-1246.2322001895466
Medina;570.4496489368511;67581.21506227663;452.4230529656596;-1.8929951394577071;-67.70977650876645;-1343.3178825115758
Caravelas;364.17101319521925;8367.578063411593;365.16457039783614;-1.0958680842701698;-0.05333396827729131;-1339.2707435372286
São Joaquim da Barra;77.16013543559045;1930.9370284654897;547.7381462386061;-38.02605934486728;0.9439077622730645;-1285.5680669080061
Araci;271.52024665226793;2125.927047328567;562.6742744464174;-0.06975766713503062;0.9320071478989442;-1312.119251075516
Quipapá;202.1830391076112;2761.141234080337;91.59869553224057;-3.2444446712951054;0.8853051843821383;-1341.2473646724695
Hugo Napoleão;40.69165206877826;1683.133911872315;133.22921878041444;-2.2114561242142172;0.9573809382258173;-1346.8834392574263
Humaitá;71.91104417488245;3394.430861761868;233.75453251668733;-20.99905981387032;0.8266593267772413;-1347.8999724294727
Cruz Machado;211.78504313288028;4988.057827267325;84.2183504164702;-2.1861885528530465;0.625691660123053;-1333.9868729331222
Planalto;94.11134111518865;7552.646135809989;106.2435629975998;0.5483318959689261;0.14184681511716657;-1338.0894408530328
Exu;463.16995683308625;566.8944409279629;872.852260388183;-2.5433230160984754;0.9951652843022795;-1310.2956604532358
Panambi;2078.861174019051;929.8924158239353;482.9644730590588;-41.98340029654923;0.9869913581929669;-1241.424532291661
Itaguaçu da Bahia;217.7183082044438;4822.839469881094;304.48438934749737;-1.5488759965169319;0.6500772673128512;-1348.8502461524015
Encanto;9.52373405575507;8803.173926637508;86.9622381275737;-1.490077193955333;-0.1658565288391054;-1344.921922838827
Trindade;168.7867146528273;3795.74436410954;165.85518682729543;-3.6810711402558836;0.7832493262992128;-1333.5036963868804
Bom Jesus do Tocantins;115.79255307749634;668.6175732767841;26.463065718781202;-1.6835018603300016;0.993274538076948;-1343.4970906723106
